Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Level 1 / Level 2 / DC Fast),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,"51 | 3,245 | 997",,,,,
Rhode Island,1.0,1.0,0.0,317 | 817,0 | 0 | 0,0.0,3 | 2 | 5,0.0,824.0
,,,,82 | 644 | 91,,,,,
South Carolina,33.0,13.0,58.0,"559 | 1,374",0 | 0 | 0,1.0,25 | 17 | 42,0.0,1521.0
,,,,15 | 906 | 453,,,,,
South Dakota,0.0,0.0,81.0,98 | 232,0 | 0 | 0,0.0,4 | 11 | 15,0.0,328.0
,,,,2 | 127 | 103,,,,,
Tennessee,5.0,22.0,90.0,"918 | 2,225",0 | 0 | 0,4.0,28 | 26 | 54,0.0,2400.0
,,,,"34 | 1,712 | 479",,,,,
Texas,10.0,93.0,265.0,"3,104 | 8,637",0 | 0 | 0,15.0,177 | 179 | 356,0.0,9376.0
,,,,"83 | 6,297 | 2,257",,,,,
Utah,1.0,41.0,0.0,"893 | 2,185",0 | 0 | 0,0.0,20 | 19 | 39,0.0,2266.0
,,,,"15 | 1,838 | 332",,,,,
Vermont,2.0,3.0,0.0,381 | 978,0 | 0 | 0,0.0,0 | 2 | 2,0.0,985.0
,,,,21 | 838 | 119,,,,,
Virginia,7.0,24.0,84.0,"1,562 | 4,565",0 | 1 | 1,1.0,41 | 36 | 77,0.0,4759.0
,,,,"226 | 3,235 | 1,104",,,,,
Washington,24.0,23.0,13.0,"2,202 | 5,817",0 | 1 | 1,1.0,49 | 21 | 70,0.0,5949.0
,,,,"165 | 4,578 | 1,074",,,,,
West Virginia,1.0,3.0,36.0,155 | 446,0 | 0 | 0,0.0,6 | 9 | 15,0.0,501.0
,,,,19 | 286 | 141,,,,,
Wisconsin,23.0,46.0,262.0,"577 | 1,398",0 | 0 | 0,1.0,21 | 40 | 61,0.0,1791.0
,,,,7 | 977 | 414,,,,,
Wyoming,0.0,7.0,8.0,103 | 252,0 | 0 | 0,0.0,6 | 10 | 16,1.0,284.0
,,,,4 | 140 | 108,,,,,
Total,1700.0,1392.0,4495.0,"64,315 | 176,032",58 | 18 | 76,94.0,"1,401 | 1,412 | 2,813",606.0,187208.0
,,,,"2,972 | 135,112 | 37,920",,,,,
